Date,Price,Open,High,Low,Volume,Chg%
"Dec 31, 2019","7,542.44","7,587.05","7,587.41","7,532.38",212.14M,-0.59%
"Dec 30, 2019","7,587.05","7,644.90","7,644.90","7,587.05",304.24M,-0.76%
"Dec 27, 2019","7,644.90","7,632.24","7,665.40","7,622.46",311.11M,0.17%
"Dec 24, 2019","7,632.24","7,623.59","7,636.16","7,608.22",185.67M,0.11%
"Dec 23, 2019","7,623.59","7,582.48","7,628.20","7,559.63",539.14M,0.54%
"Dec 20, 2019","7,582.48","7,573.82","7,599.52","7,564.59",1.16B,0.11%
"Dec 19, 2019","7,573.82","7,540.75","7,575.90","7,526.10",661.08M,0.44%
"Dec 18, 2019","7,540.75","7,525.28","7,557.05","7,515.17",679.28M,0.21%
"Dec 17, 2019","7,525.28","7,519.05","7,537.66","7,497.15",1.10B,0.08%
"Dec 16, 2019","7,519.05","7,353.44","7,552.65","7,353.18",1.05B,2.25%
"Dec 13, 2019","7,353.44","7,273.47","7,429.04","7,223.42",1.91B,1.10%
"Dec 12, 2019","7,273.47","7,216.25","7,307.36","7,216.08",727.08M,0.79%
"Dec 11, 2019","7,216.25","7,213.76","7,250.67","7,195.49",820.83M,0.03%
"Dec 10, 2019","7,213.76","7,233.90","7,234.40","7,137.84",703.52M,-0.28%
"Dec 09, 2019","7,233.90","7,239.66","7,255.73","7,217.80",619.39M,-0.08%
"Dec 06, 2019","7,239.66","7,137.85","7,241.50","7,137.85",516.37M,1.43%
"Dec 05, 2019","7,137.85","7,188.50","7,194.78","7,131.16",650.61M,-0.70%
"Dec 04, 2019","7,188.50","7,158.76","7,190.04","7,139.91",688.01M,0.42%
"Dec 03, 2019","7,158.76","7,285.94","7,285.94","7,134.93",822.94M,-1.75%
"Dec 02, 2019","7,285.94","7,346.53","7,400.27","7,277.02",924.43M,-0.82%
"Nov 29, 2019","7,346.53","7,416.43","7,421.40","7,346.53",627.33M,-0.94%
"Nov 28, 2019","7,416.43","7,429.78","7,429.78","7,385.32",605.36M,-0.18%
"Nov 27, 2019","7,429.78","7,403.14","7,446.00","7,400.38",625.05M,0.36%
"Nov 26, 2019","7,403.14","7,396.29","7,421.30","7,384.96",1.05B,0.09%
"Nov 25, 2019","7,396.29","7,326.81","7,401.78","7,326.81",570.98M,0.95%
"Nov 22, 2019","7,326.81","7,238.55","7,343.26","7,238.47",611.24M,1.22%
"Nov 21, 2019","7,238.55","7,262.49","7,262.49","7,197.33",608.18M,-0.33%
"Nov 20, 2019","7,262.49","7,323.80","7,323.80","7,219.11",814.23M,-0.84%
"Nov 19, 2019","7,323.80","7,307.70","7,404.47","7,307.70",605.67M,0.22%
"Nov 18, 2019","7,307.70","7,302.94","7,335.36","7,293.40",764.23M,0.07%
"Nov 15, 2019","7,302.94","7,292.76","7,335.55","7,243.15",770.47M,0.14%
"Nov 14, 2019","7,292.76","7,351.21","7,351.28","7,292.76",675.22M,-0.80%
"Nov 13, 2019","7,351.21","7,365.44","7,365.44","7,301.71",694.52M,-0.19%
"Nov 12, 2019","7,365.44","7,328.54","7,390.00","7,328.18",738.72M,0.50%
"Nov 11, 2019","7,328.54","7,359.38","7,359.38","7,258.46",821.77M,-0.42%
"Nov 08, 2019","7,359.38","7,406.41","7,406.83","7,349.12",535.07M,-0.63%
"Nov 07, 2019","7,406.41","7,396.65","7,431.94","7,396.00",668.25M,0.13%
"Nov 06, 2019","7,396.65","7,388.08","7,398.78","7,363.55",601.83M,0.12%
"Nov 05, 2019","7,388.08","7,369.69","7,402.79","7,369.61",673.19M,0.25%
"Nov 04, 2019","7,369.69","7,302.42","7,392.73","7,302.42",582.16M,0.92%
"Nov 01, 2019","7,302.42","7,248.38","7,307.18","7,248.38",582.08M,0.75%
"Oct 31, 2019","7,248.38","7,330.78","7,335.16","7,245.23",847.65M,-1.12%
"Oct 30, 2019","7,330.78","7,306.26","7,334.04","7,278.18",672.19M,0.34%
"Oct 29, 2019","7,306.26","7,331.28","7,335.73","7,264.74",710.02M,-0.34%
"Oct 28, 2019","7,331.28","7,324.47","7,346.92","7,291.59",676.04M,0.09%
"Oct 25, 2019","7,324.47","7,328.25","7,331.17","7,279.78",580.30M,-0.05%
"Oct 24, 2019","7,328.25","7,260.74","7,338.87","7,255.46",733.23M,0.93%
"Oct 23, 2019","7,260.74","7,212.49","7,265.86","7,194.13",764.42M,0.67%
"Oct 22, 2019","7,212.49","7,163.64","7,230.17","7,146.69",800.69M,0.68%
"Oct 21, 2019","7,163.64","7,150.57","7,197.53","7,139.38",853.63M,0.18%
"Oct 18, 2019","7,150.57","7,182.32","7,197.14","7,146.11",869.34M,-0.44%
"Oct 17, 2019","7,182.32","7,167.95","7,237.78","7,162.04",1.13B,0.20%
"Oct 16, 2019","7,167.95","7,211.64","7,217.63","7,149.84",1.00B,-0.61%
"Oct 15, 2019","7,211.64","7,213.45","7,242.37","7,176.67",1.12B,-0.03%
"Oct 14, 2019","7,213.45","7,247.08","7,251.80","7,194.21",780.57M,-0.46%
"Oct 11, 2019","7,247.08","7,186.36","7,250.09","7,144.66",1.51B,0.84%
"Oct 10, 2019","7,186.36","7,166.50","7,212.90","7,130.52",700.02M,0.28%
"Oct 09, 2019","7,166.50","7,143.15","7,196.41","7,139.90",582.02M,0.33%
"Oct 08, 2019","7,143.15","7,197.88","7,223.86","7,143.15",691.68M,-0.76%
"Oct 07, 2019","7,197.88","7,155.38","7,206.89","7,132.98",551.39M,0.59%
